Year,parent_id,id,value,colour
2017,Most Likely To Find Items.Lids (Plastic),Lids (Plastic),8.381722989052832,Most Likely To Find Items
2017,Most Likely To Find Items.Other Plastic Bags,Other Plastic Bags,38.324607329842934,Most Likely To Find Items
2017,Most Likely To Find Items.Paper Bags,Paper Bags,3.507853403141361,Most Likely To Find Items
2017,Most Likely To Find Items.Straws/Stirrers,Straws/Stirrers,66.66825321275583,Most Likely To Find Items
2017,Most Likely To Find Items.Take Out Containers (Foam),Take Out Containers (Foam),11.570680628272251,Most Likely To Find Items
2017,Most Likely To Find Items.Take Out Containers (Plastic),Take Out Containers (Plastic),14.13136601618277,Most Likely To Find Items
2017,"Other Trash.Appliances (Fridges, Washers, Etc)","Appliances (Fridges, Washers, Etc)",0.49024274155164205,#C0C0C0
2017,Other Trash.Balloons,Balloons,1.4231318419800096,#C0C0C0
2017,Other Trash.Cigar Tips,Cigar Tips,3.303188957639219,#C0C0C0
2017,Other Trash.Cigarette Lighters,Cigarette Lighters,5.116611137553546,#C0C0C0
2017,Other Trash.Fireworks,Fireworks,0.18562589243217514,#C0C0C0
2017,Other Trash.Tyres,Tyres,0.433127082341742,#C0C0C0
2017,Packaging Materials.6-Pack Holders,6-Pack Holders,0.2903379343169919,#696969
2017,Packaging Materials.Other Plastic / Foam Packaging,Other Plastic / Foam Packaging,33.63636363636363,#696969
2017,"Packaging Materials.Other Plastic Bottles (Oil, Bleach, Etc)","Other Plastic Bottles (Oil, Bleach, Etc)",7.358400761542123,#696969
2017,Packaging Materials.Strapping Bands,Strapping Bands,4.026653974297954,#696969
2017,Packaging Materials.Tobacco Packaging / Wrappers,Tobacco Packaging / Wrappers,2.2798667301285103,#696969
2017,Personal Hygiene.Condoms,Condoms,0.1951451689671585,#DA70D6
2017,Personal Hygiene.Diapers,Diapers,0.2760590195145169,#DA70D6
2017,Personal Hygiene.Syringes,Syringes,0.2760590195145169,#DA70D6
2017,Personal Hygiene.Tampons / Tampon Applicators,Tampons / Tampon Applicators,0.31413612565445026,#DA70D6
2018,Fishing Gear.Fishing Buoys,Fishing Buoys,0.5016806301108714,#00BFFF
2018,Fishing Gear.Fishing Net & Pieces,Fishing Net & Pieces,2.9197812672452716,#00BFFF
2018,Fishing Gear.Fishing Line ( 1 Meter = 1 Piece),Fishing Line ( 1 Meter = 1 Piece),2.2726132544022475,#00BFFF
2018,Fishing Gear.Rope (1 Meter = 1 Piece),Rope (1 Meter = 1 Piece),4.3796719008679075,#00BFFF
2018,Items Of Local Concern.Foam Pieces,Foam Pieces,203.82782320774595,Items Of Local Concern
2018,Items Of Local Concern.Plastic Pieces,Plastic Pieces,78.02638840114383,Items Of Local Concern
2018,Items Of Local Concern.Rubber Bands,Rubber Bands,5.633873476145086,Items Of Local Concern
2018,Most Likely To Find Items.Beverage Bottles (Glass),Beverage Bottles (Glass),0.0,Most Likely To Find Items
2018,Most Likely To Find Items.Beverage Bottles (Plastic),Beverage Bottles (Plastic),0.0,Most Likely To Find Items
2018,Most Likely To Find Items.Beverage Cans,Beverage Cans,0.0,Most Likely To Find Items
2018,Most Likely To Find Items.Bottle Caps (Metal),Bottle Caps (Metal),3.1003862940851854,Most Likely To Find Items
2018,Most Likely To Find Items.Bottle Caps (Plastic),Bottle Caps (Plastic),28.68108162343852,Most Likely To Find Items
2018,Most Likely To Find Items.Cigarette Butts,Cigarette Butts,100.85285707118847,Most Likely To Find Items
2018,Most Likely To Find Items.Cups & Plates (Foam),Cups & Plates (Foam),0.0,Most Likely To Find Items
2018,Most Likely To Find Items.Cups & Plates (Paper),Cups & Plates (Paper),0.0,Most Likely To Find Items
2018,Most Likely To Find Items.Cups & Plates (Plastic),Cups & Plates (Plastic),0.0,Most Likely To Find Items
2018,"Most Likely To Find Items.Food Wrappers (Candy, Chips, Etc)","Food Wrappers (Candy, Chips, Etc)",43.46059298650479,Most Likely To Find Items
2018,"Most Likely To Find Items.Forks, Knives, Spoons","Forks, Knives, Spoons",7.369688456328702,Most Likely To Find Items
2018,Most Likely To Find Items.Grocery Bags (Plastic),Grocery Bags (Plastic),0.0,Most Likely To Find Items
2018,Most Likely To Find Items.Lids (Plastic),Lids (Plastic),7.394772487834245,Most Likely To Find Items
2018,Most Likely To Find Items.Other Plastic Bags,Other Plastic Bags,0.0,Most Likely To Find Items
2018,Most Likely To Find Items.Paper Bags,Paper Bags,0.0,Most Likely To Find Items
2018,Most Likely To Find Items.Straws/Stirrers,Straws/Stirrers,53.810264385692065,Most Likely To Find Items
2018,Most Likely To Find Items.Take Out Containers (Foam),Take Out Containers (Foam),7.816184217127377,Most Likely To Find Items
2018,Most Likely To Find Items.Take Out Containers (Plastic),Take Out Containers (Plastic),8.408167360658204,Most Likely To Find Items
2018,"Other Trash.Appliances (Fridges, Washers, Etc)","Appliances (Fridges, Washers, Etc)",0.526764661616415,#C0C0C0
2018,Other Trash.Balloons,Balloons,1.279285606782722,#C0C0C0
2018,Other Trash.Cigar Tips,Cigar Tips,3.5920333115938394,#C0C0C0
2018,Other Trash.Cigarette Lighters,Cigarette Lighters,4.118797973210254,#C0C0C0
2018,Other Trash.Fireworks,Fireworks,0.456529373400893,#C0C0C0
2018,Other Trash.Tyres,Tyres,0.3913108914864797,#C0C0C0
