S/N,Year,Site Location,Date of Cleanup,Organization,Name of Organiser,Total number of participants,Total number of trash bags filled,Weight of trash bags collected (kg),Total Distance (metres),DEBRIS SUMMARY,Most Likely to Find Items,Fishing Gear,Packaging Materials,Other Trash,Personal Hygiene,Items of Local Concern,TOTAL ITEMS,Most Likely to Find Items,Most Likely to Find Items.Cigarette Butts,"Most Likely to Find Items.Food Wrappers (candy, chips, etc)",Most Likely to Find Items.Take Out Containers (plastic),Most Likely to Find Items.Take Out Containers (foam),Most Likely to Find Items.Bottle Caps (plastic),Most Likely to Find Items.Bottle Caps (metal),Most Likely to Find Items.Lids (plastic),Most Likely to Find Items.Straws/Stirrers,"Most Likely to Find Items.Forks, Knives, Spoons",Most Likely to Find Items.Beverage Bottles (plastic),Most Likely to Find Items.Beverage Bottles (glass),Most Likely to Find Items.Beverage Cans,Most Likely to Find Items.Grocery Bags (plastic),Most Likely to Find Items.Other Plastic Bags,Most Likely to Find Items.Paper Bags,Most Likely to Find Items.Cups & Plates (paper),Most Likely to Find Items.Cups & Plates (plastic),Most Likely to Find Items.Cups & Plates (foam),Fishing Gear.Fishing Gear,Fishing Gear.Fishing Buoys,Fishing Gear.Fishing Net & Pieces,Fishing Gear.Rope (1 meter = 1 piece),Fishing Gear.Fishing line ( 1 meter = 1 piece),Other Trash.Other Trash,"Other Trash.Appliances (fridges, washers, etc)",Other Trash.Balloons,Other Trash.Cigar Tips,Other Trash.Cigarette Lighters,Other Trash.Construction Materials,Other Trash.Fireworks,Other Trash.Tyres,Items of Local Concern,Items of Local Concern.Foam Pieces,Items of Local Concern.Glass Pieces,Items of Local Concern.Plastic Pieces,Items of Local Concern.Rubber Bands,Packaging Materials,Packaging Materials.6-pack holders,Packaging Materials.Other Plastic / Foam Packaging,"Packaging Materials.Other Plastic Bottles (oil, bleach, etc)",Packaging Materials.Strapping bands,Packaging Materials.Tobacco Packaging / Wrappers,Personal Hygiene,Personal Hygiene.Condoms,Personal Hygiene.Diapers,Personal Hygiene.Syringes,Personal Hygiene.Tampons / Tampon Applicators,Dead / Injured Animals,Dead / Injured Animals.What Animal?,Dead / Injured Animals.Dead or Injured?,Dead / Injured Animals.Is the animal entangled? Entangled by what?,Comments
93,2014,Tanah Merah Site 7,"Saturday, 13 September, 2014",National Environment Agency (NEA),Too Soon Yee,47,143,317,100,6490,3326,7,173,30,0,2954,6490,3326,1,453,93,56,85,19,105,377,10,1304,31,26,34,349,0,1,370,12,7,1,1,5,0,30,4,0,12,11,1,0,2,2954,2581,109,264,0,173,0,106,48,0,19,0,0,0,0,0,,crabs,,,
94,2014,Tanah Merah Site 7,"Saturday, 13 September, 2014",Starbucks Coffee Singapore,Mohd Zaini,40,35,275,100,1870,1637,2,17,2,7,205,1870,1637,75,115,175,118,58,17,355,61,25,285,17,75,27,0,0,7,11,216,2,1,0,1,0,2,0,0,0,2,0,0,0,205,17,2,115,71,17,0,7,5,0,5,7,0,7,0,0,,Fish,,,
95,2014,Tanah Merah Site 7,"Saturday, 13 September, 2014",LCKNHM Toddycats! & Independents,Germaine Leng & Joanna Yeo,39,41,526,800,3799,3165,41,122,52,8,411,3799,3165,0,715,24,21,6,3,4,209,20,161,57,7,63,704,0,0,1168,3,41,4,9,26,2,52,10,0,0,7,35,0,0,411,220,123,68,0,122,0,72,45,0,5,8,0,3,4,1,,NIL,,,
96,2014,Tanah Merah Site 7,"Saturday, 27 September, 2014",Adrian Lim and Friends,Adrian Lim,32,29,197,500,1421,1136,33,29,34,3,186,1421,1136,81,108,1,3,42,0,2,190,1,251,10,16,18,145,0,4,244,20,33,0,4,27,2,34,1,2,0,15,15,0,1,186,138,7,41,0,29,0,18,7,2,2,3,0,0,0,3,,NIL,,,
97,2014,Sembawang Park (Northeast),"Saturday, 13 September, 2014",Northland Primary School,Vanan,7,9,47,250,565,185,3,30,9,0,338,565,185,35,17,10,5,9,5,3,17,3,24,0,9,29,0,3,5,4,7,3,0,2,1,0,9,0,0,4,1,4,0,0,338,296,22,19,1,30,0,8,9,8,5,0,0,0,0,0,,crabs,,,
98,2014,Selimang Beach (Northeast),"Saturday, 13 September, 2014",MediaCorp Pte Ltd,"Pauline Lam , Oh Pei Ling",36,25,330,100,1298,811,17,107,22,13,328,1298,811,30,95,13,2,35,10,2,119,18,61,32,19,123,164,18,16,29,25,17,0,8,8,1,22,1,0,3,8,8,0,2,328,88,119,119,2,107,0,46,45,0,16,13,3,4,1,5,,Crabs,,,
99,2014,Punggol Beach (Northeast),"Saturday, 13 September, 2014",,,85,32,311,490,3501,1823,76,212,44,7,1339,3501,1823,232,110,21,571,74,19,18,136,22,141,41,77,63,169,17,13,76,23,76,7,25,30,14,44,12,4,0,8,14,3,3,1339,1044,44,240,11,212,0,96,30,65,21,7,0,6,1,0,,"fish, horseshoe crab, jellyfish, crabs, cat, ants",,,
100,2014,Punggol Beach 1,"Saturday, 13 September, 2014",North Vista Secondary School ODAC,Ng Li Wei,42,10,121,250,585,361,23,15,15,1,170,585,361,52,36,8,4,17,5,6,23,16,40,9,43,30,29,7,6,25,5,23,0,11,7,5,15,4,0,0,1,9,0,1,170,96,13,56,5,15,0,4,1,5,5,1,0,1,0,0,,Fish,,,
101,2014,Punggol Beach 2,"Saturday, 13 September, 2014",Overseas Family School (OFS),Jean Curry,20,12,123,90,2359,1205,47,122,24,6,955,2359,1205,177,32,6,550,51,10,11,77,5,75,28,30,12,76,10,1,39,15,47,6,10,23,8,24,4,4,0,6,5,3,2,955,800,27,123,5,122,0,44,22,47,9,6,0,5,1,0,,horse shoe crab,,,
102,2014,Punggol Beach 2,"Saturday, 13 September, 2014",CHIJ St Nicholas Girls' School,"Ms Dawn Lim, Ms Leong Chee Bing & Mr Kuah Ee Qiang",23,22,67,150,557,257,6,75,5,0,214,557,257,3,42,7,17,6,4,1,36,1,26,4,4,21,64,0,6,12,3,6,1,4,0,1,5,4,0,0,1,0,0,0,214,148,4,61,1,75,0,48,7,13,7,0,0,0,0,0,,Jellyfish,,,
103,2014,Sungei Seletar 1,"Friday, 29 August, 2014",BP Maritime Services Singapore Pte Ltd,Shankar Rajasekharan,29,42,333,200,839,504,45,41,13,0,236,839,504,14,25,10,12,19,7,13,23,5,166,18,30,28,85,3,1,34,11,45,0,22,21,2,13,0,1,1,8,0,0,3,236,141,13,82,0,41,1,26,10,0,4,0,0,0,0,0,,2 horseshoe crabs,,,
104,2014,Sungei Seletar 2,"Saturday, 13 September, 2014",Land Transport Authority,"Teng Wei Ling, Lee Zi Xiong",50,0,371,490,4692,2721,193,271,169,0,1338,4692,2721,45,207,72,61,360,34,12,113,46,536,111,31,193,414,54,66,89,277,193,1,34,121,37,169,3,2,2,141,19,1,1,1338,953,81,299,5,271,0,142,88,31,10,0,0,0,0,0,,NIL,,,
105,2014,Pasir Ris Beach 1,"Saturday, 13 September, 2014",Brown University Alumni,Yvonne Koh,7,2,9,200,416,149,11,41,5,0,210,416,149,20,0,6,11,20,0,0,25,1,19,0,6,16,11,0,5,9,0,11,0,5,2,4,5,0,0,0,5,0,0,0,210,148,4,38,20,41,2,30,1,0,8,0,0,0,0,0,,Fish,,,
106,2014,Pasir Ris Beach 2,"Saturday, 13 September, 2014",Northvista Secondary School 3E3,Tay Chee Thong,30,13,81,250,643,586,2,18,4,0,33,643,586,32,235,5,0,13,4,2,49,2,3,6,9,40,117,54,3,12,0,2,0,0,0,2,4,0,0,0,0,3,1,0,33,0,2,31,0,18,1,11,1,0,5,0,0,0,0,0,,NIL,,,
107,2014,Pasir Ris Beach 6,"Saturday, 13 September, 2014",,,178,130,686,300,3286,2350,69,276,49,9,533,3286,2350,108,446,111,9,50,7,25,345,71,120,102,45,141,629,50,16,66,9,69,2,15,33,19,49,1,1,1,10,33,1,2,533,104,58,355,16,276,0,233,18,19,6,9,3,2,4,0,,"Jellyfish, crabs",,,
108,2014,Pasir Ris Beach 6,"Saturday, 13 September, 2014",NPS International School,Leena Chettri,25,13,85,350,588,302,26,22,14,0,224,588,302,5,55,25,5,21,5,8,34,12,29,10,12,5,36,15,13,11,1,26,0,3,11,12,14,0,1,0,9,4,0,0,224,82,3,136,3,22,0,22,0,0,0,0,0,0,0,0,,NIL,,,
109,2014,Pasir Ris Beach 6,"Saturday, 13 September, 2014",Naval Base Secondary School,Simon Teo,63,70,213,350,847,525,14,75,18,3,212,847,525,1,161,62,1,6,1,4,70,12,10,7,0,48,132,0,0,10,0,14,0,3,10,1,18,1,0,1,1,13,1,1,212,1,11,194,6,75,0,71,3,0,1,3,3,0,0,0,,Jellyfish,,,
110,2014,Pasir Ris Beach 6,"Saturday, 13 September, 2014",DHL Singapore,Dian Yassin,90,47,388,500,1851,1523,29,179,17,6,97,1851,1523,102,230,24,3,23,1,13,241,47,81,85,33,88,461,35,3,45,8,29,2,9,12,6,17,0,0,0,0,16,0,1,97,21,44,25,7,179,0,140,15,19,5,6,0,2,4,0,,crab,,,
111,2014,Sungei Tampines (Northeast),"Saturday, 13 September, 2014",Alpha Phi Omega Alumni Association Singapore,Marivic Ison,20,32,285,35,568,396,28,5,0,0,139,568,396,108,135,10,8,19,0,5,85,1,0,0,0,25,0,0,0,0,0,28,0,3,15,10,0,0,0,0,0,0,0,0,139,3,1,135,0,5,0,3,0,2,0,0,0,0,0,0,,NIL,,,
112,2014,Sungei Loyang Mangroves (Northeast),"Saturday, 30 August, 2014",Woodlands Ring Secondary School,Chua Yi Teng,131,72,365,150,5608,2485,136,368,108,8,2503,5608,2485,1,373,102,31,383,9,154,239,149,365,38,40,98,220,28,9,181,65,136,4,58,73,1,108,4,14,3,71,11,2,3,2503,1132,98,1261,12,368,1,225,37,53,52,8,3,0,5,0,,5 horseshoe crabs,,,
113,2014,Chek Jawa North 1,"Thursday, 13 March, 2014","MOE Bedok South Sec School, Henderson Sec School","Mr Edzra Iskandar, Ms Cynthia Chong, Ms Norlinda Ishnin",26,25,76,200,1374,1072,3,12,15,0,272,1374,1072,0,58,24,51,289,0,14,6,9,295,8,18,52,65,3,0,68,112,3,1,2,0,0,15,6,0,0,5,1,0,3,272,125,5,142,0,12,0,7,5,0,0,0,0,0,0,0,,Sea Cucumber,,,
114,2014,Chek Jawa North 2,"Saturday, 13 September, 2014",Barclays Technology Centre,"Erica Lee, Maries Villarosa",26,47,161,50,1230,904,9,41,10,2,264,1230,904,0,17,5,4,3,1,4,71,1,626,31,6,8,76,1,6,35,9,9,3,3,3,0,10,1,1,0,4,3,0,1,264,217,34,13,0,41,0,24,16,0,1,2,0,2,0,0,,NIL,,,
115,2014,Chek Jawa Central 3 & 4,"Saturday, 13 September, 2014",Arup Singapore Pte Ltd,Ang Siow Ting,26,42,346,200,2371,1866,22,169,30,2,282,2371,1866,1,81,116,65,71,16,45,47,20,841,25,22,62,157,11,3,238,45,22,0,5,17,0,30,0,2,0,17,9,0,2,282,192,14,74,2,169,0,88,66,14,1,2,0,2,0,0,,crabs,,,
116,2014,Chek Jawa South 1 - 3,"Saturday, 13 September, 2014",Sukyo Mahikari,Patrick Sng,48,74,365,150,3325,2348,26,252,105,0,594,3325,2348,17,262,77,26,208,1,31,183,67,728,69,40,91,270,3,12,226,37,26,0,11,13,2,105,3,1,0,65,33,0,3,594,384,31,174,5,252,1,208,31,5,7,0,0,0,0,0,,NIL,,,
117,2014,Chek Jawa South 4-5,"Saturday, 13 September, 2014",Temasek Polytechnic Community Service Club,Chua Yong Xiang,24,17,145,100,494,358,3,29,30,0,74,494,358,3,112,21,15,36,7,9,24,0,17,27,23,17,11,0,0,29,7,3,0,0,3,0,30,0,0,0,11,19,0,0,74,0,23,35,16,29,0,7,11,2,9,0,0,0,0,0,,NIL,,,
118,2014,Chek Jawa South 6,"Saturday, 13 September, 2014",Oscar and Friends,Oscar Ng,15,18,307,20,2165,1578,163,55,10,1,358,2165,1578,0,437,52,4,146,1,6,226,14,97,8,18,85,365,0,0,119,0,163,12,6,139,6,10,2,0,0,6,0,0,2,358,310,18,29,1,55,0,19,34,0,2,1,0,0,1,0,,Horseshoe crab,,,
119,2014,Chek Jawa South 8 - 10,"Saturday, 13 September, 2014",State Street Bank & Trust,Matthew French,21,34,286,30,560,441,21,32,12,1,53,560,441,0,49,35,11,41,7,23,19,9,69,14,11,37,73,7,8,23,5,21,1,6,11,3,12,0,1,0,2,7,0,2,53,35,11,4,3,32,0,19,13,0,0,1,0,0,1,0,,NIL,,,
120,2014,Kekek Beach (Pulau Ubin West),"Saturday, 6 September, 2014",Outward Bound Singapore (OBS),Chua Li San,4,6,318,80,4181,132,4,42,3,0,4000,4181,132,0,0,7,0,9,0,0,7,8,95,0,6,0,0,0,0,0,0,4,1,2,0,1,3,2,0,0,0,1,0,0,0,,0,0,0,42,0,0,41,0,1,0,0,0,0,0,,Baby crabs,,,
121,2014,East Coast Park 1,"Saturday, 20 September, 2014",YTL PowerSeraya,Kevin W F Lee,28,8,27,200,1203,788,9,118,14,2,272,1203,788,296,55,20,8,64,1,10,173,13,70,2,2,5,3,14,5,44,3,9,0,2,7,0,14,0,1,5,7,1,0,0,272,85,5,173,9,118,0,66,45,7,0,2,1,0,1,0,,Fish,,,
122,2014,East Coast Park 2,"Saturday, 13 September, 2014",Advantest (Singapore) Pte Ltd,ABBY TAN,44,9,93,500,2650,2216,16,36,5,0,377,2650,2216,826,30,31,0,164,0,19,374,50,255,0,0,200,200,0,0,67,0,16,1,0,15,0,5,0,0,0,5,0,0,0,377,350,0,27,0,36,0,0,33,0,3,0,0,0,0,0,,NIL,,,
123,2014,East Coast Park 3,"Friday, 12 September, 2014",Renesas Electronics Pte Ltd,Joel,46,28,117,600,2200,1490,18,50,20,1,621,2200,1490,401,89,69,40,56,1,36,271,12,363,15,15,25,21,0,4,65,7,18,1,3,13,1,20,0,6,0,12,0,0,2,621,345,4,266,6,50,0,28,14,3,5,1,1,0,0,0,,Frog,,,
124,2014,East Coast Park 4,"Saturday, 13 September, 2014",Black & Veatch (SEA) Pte Ltd,Vinh Nguyen,43,18,125,100,5591,4483,33,313,117,6,639,5591,4483,876,479,165,501,318,56,162,524,238,455,10,77,36,153,116,100,147,70,33,0,6,19,8,117,0,1,1,10,103,0,2,639,355,2,125,157,313,1,228,22,12,50,6,0,0,5,1,,0,,,
125,2014,East Coast Park 5,"Saturday, 13 September, 2014",SATO Asia Pacific Pte Ltd,"Ma Roma Rica Gadian, Wong Lin Yeow, SATO Eco Team",35,2,37,500,3002,2013,45,204,37,1,702,3002,2013,935,185,34,12,173,9,31,282,29,91,3,7,20,66,8,11,104,13,45,0,7,34,4,37,2,7,0,11,7,8,2,702,307,160,198,37,204,0,160,8,13,23,1,0,1,0,0,,Fish,,,
126,2018,Lim Chu Kang Beach,43358,"National University of Singapore, NUS Yong Loo Lin School of Medicine",Iman Fahim Hameed / Chow Kean Pang,48,32,193,80,2703,1817,33,161,56,3,633,,831,2,180,44,7,139,3,81,344,31,,,,,,,,,,33,1,6,22,4,56,1,0,1,36,18,0,0,633,263,123,235,12,161,0,103,8,42,8,3,1,0,1,1,,Horseshoe crab,,,
127,2018,Lim Chu Kang Beach,43358,Wildlife Reserves Singapore,Foo Wan Xuan,17,22,100,40,3159,1220,10,107,41,4,1777,,425,0,131,28,4,112,3,18,85,44,,,,,,,,,,10,1,6,3,0,41,0,0,0,38,3,0,0,1777,1416,13,348,0,107,0,65,21,17,4,4,0,0,4,0,,Horseshoe Crab,,,
128,2018,Lim Chu Kang East Mangrove ,43358,Earthlink NTU,Tjoa Chin Hong & Tan Pek Yeu,44,27,101,100,1614,747,14,130,25,1,697,,276,0,98,27,21,41,0,17,63,9,,,,,,,,,,14,1,0,12,1,25,0,2,0,11,11,0,1,697,557,4,131,5,130,0,94,34,2,0,1,0,0,1,0,,Mud Lobster,,,
129,2018,Lim Chu Kang East Mangroves,"Saturday, 15 September 18",Singapore American School,Steve Early,63,33,212,50,2035,990,73,78,49,2,843,,386,3,124,21,46,41,3,21,109,18,,,,,,,,,,73,3,26,44,0,49,1,0,0,5,43,0,0,843,345,46,450,2,78,5,49,20,4,0,2,2,0,0,0,,3 horseshoe crabs,,,
130,2018,Sungei Buloh Wetland Reserve West C8,"Saturday, 15 September 18",Jurong Secondary School,Muhammad Faidzil Abdul Rahmah,35,44,180,50,2865,2111,6,355,40,0,353,,999,35,376,255,10,143,2,32,112,34,,,,,,,,,,6,2,0,4,0,40,0,0,0,37,3,0,0,353,335,18,0,0,355,0,115,215,23,2,0,0,0,0,0,,Horseshoe Crab,,,
131,2018,Kranji Bund Mangroves,"Saturday, 15 September 18",NSS,Bryan Leong,18,16,343,60,304,78,33,58,23,1,111,,27,0,7,3,0,3,5,3,1,5,,,,,,,,,,33,0,18,15,0,23,7,0,0,1,12,0,3,111,3,10,94,4,58,0,57,1,0,0,1,0,0,1,0,,Horseshoe crab,,,
132,2018,Sembawang Beach 1 & 2,"Saturday, September 15, 2018",TechnipFMC,Rain Neo,28,15,106,200,1354,890,14,36,14,2,398,,708,614,14,11,0,33,1,11,20,4,,,,,,,,,,14,1,10,2,1,14,0,3,0,3,8,0,0,398,270,58,57,13,36,0,13,0,0,23,2,0,2,0,0,,Fish,,,
133,2018,Selimang Beach,"Saturday, 15 September 2018",Republic Polytechnic Conservation Interest Group,Ilyas & Muhammad,16,17,158,100,979,638,26,72,13,1,229,,318,1,172,12,7,4,2,2,111,7,,,,,,,,,,26,0,5,1,20,13,6,0,0,5,2,0,0,229,90,34,102,3,72,2,27,5,14,24,1,0,1,0,0,,Horseshoe crab,,,
134,2018,Punggol Beach ,"Saturday, September 15, 2018",Agri-Food and Veterinary Authority of Singapore,Michelle Ooi,15,7,63,100,577,342,3,8,6,2,216,,230,7,82,1,0,9,1,1,129,0,,,,,,,,,,3,0,1,0,2,6,3,0,0,0,3,0,0,216,60,4,150,2,8,0,2,4,0,2,2,0,1,1,0,,Crabs (Five),,,
135,2018,Punggol Beach 2,"Saturday, September 15, 2018",LaSalle Investment Management Asia Pte Ltd,Ho Sin Huay,20,10,86,100,823,432,14,76,25,2,274,,225,23,49,13,9,28,0,2,97,4,,,,,,,,,,14,0,6,5,3,25,0,0,0,8,16,0,1,274,142,16,112,4,76,0,63,8,2,3,2,0,2,0,0,,Crab,,,
136,2018,Punggol Beach 1,"Saturday, September 15, 2018",YTL PowerSeraya ,Kevin W F Lee,12,6,34,200,182,86,1,14,1,0,80,,39,1,1,0,35,0,0,0,1,1,,,,,,,,,,1,0,1,0,0,1,0,0,0,1,0,0,0,80,38,14,27,1,14,0,13,1,0,0,0,0,0,0,0,,0,,,
137,2018,Sungei Seletar 2 ,"Saturday, September 15, 2018",Assyafaah Mosque ,Abdul Jaleel Abdul Kader,22,14,75,30,127,84,0,9,3,2,29,,40,11,7,0,0,12,10,0,0,0,,,,,,,,,,0,0,0,0,0,3,0,0,0,3,0,0,0,29,18,11,0,0,9,0,1,8,0,0,2,0,2,0,0,,Horseshoe crab ,,,
138,2018,Coney Island Beach A,"Saturday, 15 September 2018",Naval Base Secondary,Teo Ann Peng Simon,72,15,104,300,991,455,48,27,28,0,433,,151,20,18,17,21,32,11,10,18,4,,,,,,,,,,48,11,11,26,0,28,0,0,4,6,4,0,14,433,243,56,82,52,27,5,13,7,2,0,0,0,0,0,0,,0,,,
139,2018,Coney Island Beach A,"Saturday, 15 September 2018",School of the Arts (SOTA),Denissia,7,14,82,400,445,333,1,53,0,1,57,,87,1,61,3,0,2,0,0,18,2,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,57,26,9,21,1,53,0,37,2,11,3,1,0,0,1,0,,Horse Shoe Crab,,,
140,2018,Coney Island Beach B,"Saturday, 15 September 2018",Inland Revenue Recreation Club,Lee Jin Wei,17,8,72,500,482,215,10,66,18,0,173,,110,20,11,5,5,22,7,7,18,15,,,,,,,,,,10,0,4,6,0,18,0,2,0,6,9,1,0,173,158,0,14,1,66,0,49,2,15,0,0,0,0,0,0,,fish,,,
141,2018,Coney Island Beach D,"Saturday, 15 September 2018",Trash Hero Singapore,Stella Cochrane,15,16,154,200,424,200,23,42,26,2,131,,107,3,4,7,16,15,1,7,48,6,,,,,,,,,,23,0,6,13,4,26,0,0,0,22,4,0,0,131,97,5,29,0,42,0,31,10,1,0,2,0,0,0,2,,0,,,
142,2018,Coney Island Beach D,"Saturday, 15 September 2018",Willy's Gang,Willy Zhang,4,4,60,250,231,157,2,9,2,0,61,,77,1,47,5,1,3,0,0,17,3,,,,,,,,,,2,0,2,0,0,2,0,0,1,0,0,0,1,61,15,2,43,1,9,0,6,0,3,0,0,0,0,0,0,,0,,,
143,2018,Coney Island Beach E,"Saturday, 15 September 2018",Arup Singapore Pte Ltd,Saket Sarupria,26,22,469,300,1142,1046,19,10,5,3,59,,513,1,26,13,22,4,1,5,437,4,,,,,,,,,,19,2,5,12,0,5,1,0,0,1,1,0,2,59,11,3,44,1,10,0,4,6,0,0,3,0,3,0,0,,0,,,
144,2018,Coney Island Beach E,"Saturday, 15 September 2018",ERM,Ivan Tay,22,13,59,250,911,347,15,233,15,0,301,,73,3,24,5,1,21,0,5,12,2,,,,,,,,,,15,0,3,9,3,15,0,0,0,8,7,0,0,301,195,2,86,18,233,1,188,33,6,5,0,0,0,0,0,,0,,,
145,2018,Coney Island - Beach E,"Saturday, 15 September 2018",Trash Hero Singapore,Stella Cochrane,18,21,105,150,693,434,31,57,23,0,148,,321,4,2,10,15,16,2,5,261,6,,,,,,,,,,31,1,4,18,8,23,1,0,2,14,5,0,1,148,88,1,57,2,57,0,32,18,7,0,0,0,0,0,0,,Starfish,,,
146,2018,Pasir Ris Beach 1,"Saturday, 15 September 2018",BWM Chinatown,Tan Yiwen,103,25,288,650,3311,2578,94,56,39,4,540,,1116,506,440,25,35,13,5,1,88,3,,,,,,,,,,94,1,18,13,62,39,1,5,11,1,20,0,1,540,112,35,375,18,56,0,36,0,10,10,4,2,2,0,0,,Fish,,,
147,2018,Pasir Ris Beach 2,"Saturday, 15 September 2018",Guardians of Mother Earth,Yii Hui Lee,105,61,316,200,3353,2816,80,82,41,1,333,,2171,649,632,8,10,34,5,0,823,10,,,,,,,,,,80,0,34,6,40,41,0,0,33,1,6,0,1,333,71,50,177,35,82,0,74,0,3,5,1,0,0,0,1,,Crab,,,
148,2018,Pasir Ris Beach 6,43358,Bukit Batok Secondary School,Tan Thiam Chye,70,30,300,200,1488,1285,45,30,8,0,120,,335,0,50,60,0,200,5,0,20,0,,,,,,,,,,45,0,5,10,30,8,0,0,0,5,3,0,0,120,50,20,50,0,30,0,0,30,0,0,0,0,0,0,0,,0,,,
149,2018,Pasir Ris Beach 6,15TH SEPTEMBER 2018,ITE COLLEGE EAST,CHRISTINA LIM,28,17,49,250,289,213,9,12,12,0,43,,55,3,5,5,12,11,4,11,2,2,,,,,,,,,,9,0,2,4,3,12,0,0,0,12,0,0,0,43,22,11,10,0,12,0,12,0,0,0,0,0,0,0,0,,JELLYFISH,,,
150,2018,Pasir Ris Beach 6,"Saturday, 15 September 2018",Overseas Family School,Overseas Family School,18,8,27,250,1676,600,42,129,57,0,848,,428,80,76,20,12,77,11,28,97,27,,,,,,,,,,42,0,27,6,9,57,0,7,6,8,10,26,0,848,714,7,109,18,129,0,56,16,49,8,0,0,0,0,0,,0,,,
151,2018,Pasir Ris Beach 6,43358,Mediacorp Pte Ltd ,Gina Ho ,40,43,5263,250,2449,2097,17,216,59,3,57,,811,114,215,20,16,41,4,8,379,14,,,,,,,,,,17,1,2,13,1,59,2,2,1,5,49,0,0,57,5,7,44,1,216,0,205,7,1,3,3,0,1,2,0,,crab,,,
152,2018,Jelutong Beach,43358,Black and Veatch Pte Ltd,Kathryn,29,11,96,100,1114,569,53,66,102,1,323,,370,11,31,4,32,95,20,15,125,37,,,,,,,,,,53,2,22,15,14,102,0,2,53,3,35,1,8,323,129,63,131,0,66,3,43,2,10,8,1,0,0,1,0,,Catfish,,,
153,2018,"Pulau Ubin, Jelutong Beach",21st September,United World College Southeast Asia (UWCSEA),Joseph McWilliams,197,56,283,300,8261,4120,250,414,267,14,3196,,2592,878,329,77,129,502,50,138,302,187,,,,,,,,,,250,5,66,108,71,267,38,4,29,72,103,0,21,3196,2293,122,737,44,414,17,289,42,36,30,14,5,5,3,1,,Fish,,,
154,2018,"Sungei Ubin Beach, Pulau Ubin","Saturday, 15 September 2018",Ardentec Singapore Pte Ltd,Chin Kok Seng,33,12,61,200,397,165,1,10,5,1,215,,124,15,64,9,4,27,0,3,2,0,,,,,,,,,,1,0,1,0,0,5,0,0,0,0,5,0,0,215,42,43,120,10,10,0,1,7,0,2,1,1,0,0,0,,Crab,,,
155,2018,Sungei Pandan 1,1st September 2018,"Environmental Biology Interest Group, Life Sciences Society",Liow Jia Zhen,21,37,181,100,3979,2503,6,747,43,0,680,,1476,0,514,46,28,265,0,48,494,81,,,,,,,,,,6,1,0,5,0,43,0,11,0,23,9,0,0,680,392,`,285,3,747,0,678,11,34,24,0,0,0,0,0,,0,,,
156,2018,Pandan Mangrove SP2,15th September 2018,NUS High School of Mathematics and Science,NUSH Otters,25,11,35,120,1163,563,11,53,29,2,505,,332,9,119,6,3,90,2,3,90,10,,,,,,,,,,11,0,0,10,1,29,0,1,0,5,23,0,0,505,207,2,279,17,53,0,34,1,12,6,2,1,0,1,0,,Snake,,,
157,2018,Sungei Pandan mangroves (SP2),"Saturday, September 15, 2018",RGB Life - Jurong Spring Natural Heritage Lovers,Teo Wei Ping,48,16,38,200,649,404,8,71,23,1,142,,156,8,51,13,10,26,5,3,38,2,,,,,,,,,,8,0,0,8,0,23,0,0,0,15,7,0,1,142,41,1,92,8,71,0,59,4,0,8,1,0,1,0,0,,0,,,
158,2018,"Tanjong Rimau, Sentosa","Saturday, September 15, 2018",Sentosa Development Corporation,"Lieow Shao Wei, Annabelle Chan",25,8,112,230,423,85,2,14,4,0,318,,26,1,8,0,0,2,0,1,3,11,,,,,,,,,,2,0,0,2,0,4,0,0,0,0,4,0,0,318,34,46,235,3,14,0,5,4,0,5,0,0,0,0,0,,0,,,
159,2018,"Chek Jawa N1, N2","Saturday, September 15, 2018",Bedok South Secondary School,"Jeanette Sim, Edzra Iskandar",32,30,306,300,2262,1558,0,156,10,2,536,,371,0,97,186,35,5,0,10,15,23,,,,,,,,,,0,0,0,0,0,10,0,1,0,4,4,0,1,536,435,0,101,0,156,0,155,1,0,0,2,1,0,1,0,,Jelly Fish,,,
160,2018,Chek Jawa Central 1 & 2,"Saturday, 15 September 2018",Catholic High School,Leong Se Yean,15,47,250,100,1403,738,28,60,21,2,554,,281,0,85,31,16,103,2,7,30,7,,,,,,,,,,28,2,3,23,0,21,0,0,0,10,11,0,0,554,399,15,140,0,60,0,36,13,11,0,2,0,2,0,0,,0,,,
161,2018,"Pulau Ubin, Chek Jawa South 1-3",43358,Sukyo Mahikari,Michelle Lau,48,49,273,150,2770,2229,41,230,44,1,225,,738,4,187,106,40,130,30,93,105,43,,,,,,,,,,41,4,10,23,4,44,0,5,2,19,16,0,2,225,141,15,48,21,230,0,161,46,10,13,1,0,0,1,0,,0,,,
162,2018,Chek Jawa South 4–5,15 September 2018 (Saturday),Little Green Men,Frances Loke Wei,39,34,256,50,4063,1385,35,510,41,3,2089,,475,2,136,71,18,40,8,17,163,20,,,,,,,,,,35,3,16,10,6,41,0,2,0,21,18,0,0,2089,1499,20,566,4,510,0,297,199,13,1,3,1,0,1,1,,fish,,,
163,2018,Changi Beach 1,42993,Ricoh (Singapore) Pte Ltd,Felicia Kang,62,2,12,200,2083,1398,30,33,19,1,602,,1373,1167,90,0,0,36,14,22,44,0,,,,,,,,,,30,1,10,6,13,19,0,1,0,8,10,0,0,602,219,34,266,83,33,0,19,1,5,8,1,0,0,0,1,,0,,,
